timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:55.575,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:55.575,URLLC,MAC,UL,,,,,,,,,,,,115.0
2025-08-29 13:37:55.577,URLLC,PUSCH,UL,6.0,-266.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:55.667,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.671,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:55.671,URLLC,MAC,UL,,,,,,,,,,,,118.0
2025-08-29 13:37:55.672,URLLC,PUSCH,UL,7.0,-239.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:55.675,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.676,URLLC,PDSCH,DL,10.0,1.0,4992.0,8.0,0.0,0.78,0.0,1.0,34.1,,,
2025-08-29 13:37:55.676,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.677,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.677,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.680,URLLC,PDCCH,DL,,,,,,,,,,15.0,,
2025-08-29 13:37:55.680,URLLC,MAC,UL,,,,,,,,,,,,133.0
